Tmax_th,Tmin_th,ER_th_db,contrast_th,Tmax_drop,Tmin_drop,ER_drop_db,contrast_drop,lam_res_nm,Q,tau_ps,FSR_nm,R_um,kappa
0.9999960960596207,0.9996838321695041,0.0013563619213570464,0.031226510918099512,8.998523200648718,0.11111091859018073,19.084145026612592,98.76523162620539,1525.9219739913303,338.9807407407291,0.2744139772890263,63.58031317746571,2.4285714285714284,0.6
0.9999961766976067,0.9996771649616628,0.0013856766990065514,0.03190129556268383,9.188280091314219,0.10881586287380836,19.265420153397375,98.81571021135204,1525.9219739913303,346.6848484848481,0.2806506585910589,63.58031317746571,2.4285714285714284,0.595
0.999996255967338,0.9996703310087832,0.001415710130780803,0.032592617883302755,9.382782749748177,0.10655974934698247,19.447384704605476,98.86430548176295,1525.9219739913303,353.10493827160394,0.2858478930094114,63.58031317746571,2.4285714285714284,0.59
0.9999963338975081,0.9996633245125247,0.0014464875465078986,0.03330106058343856,9.582196203790145,0.10434176138333835,19.630068954378732,98.91108719583443,1525.9219739913303,359.7672955974646,0.29124124948127195,63.58031317746571,2.4285714285714284,0.585
0.9999964105158264,0.9996561394259008,0.0014780353530578468,0.03402723113277018,9.78669255808529,0.1021611103369417,19.813503410780772,98.9561222064492,1525.9219739913303,368.4573268921022,0.29827606227068504,63.58031317746571,2.4285714285714284,0.5800000000000001
0.9999964858490606,0.9996487694401617,0.0015103810915927016,0.03477176308312072,9.99645136735864,0.10001703431322861,19.997718847089978,98.99947460716095,1525.9219739913303,377.5775577557818,0.3056591331189804,63.58031317746571,2.4285714285714284,0.5750000000000001
0.9999965599230842,0.9996412079708785,0.0015435534983280746,0.035535317464796,10.21166003254794,0.09790879700767682,20.182746333222354,99.0412058696078,1525.9219739913303,385.20538720537235,0.3118340651011649,63.58031317746571,2.4285714285714284,0.5700000000000001
0.9999966327629055,0.9996334481431604,0.0015775825689759828,0.036318584267800214,10.432514221427388,0.09583568660776287,20.368617267370624,99.08137497276614,1525.9219739913303,393.14776632302926,0.3182636334537828,63.58031317746571,2.4285714285714284,0.5650000000000001
0.999995407131547,0.9996280507428179,0.0015957089689420075,0.03673580759564079,8.998211211592725,0.11111085613475935,19.083996890324173,98.76518950798119,1538.7462487495834,396.4518900343912,0.3236356660811467,54.955472808206984,2.857142857142857,0.6
0.9999967043927097,0.9996254827759574,0.0016124996272336416,0.03712228401569914,10.65921831548675,0.09379701475410059,20.555363407945585,99.12003852460904,1525.9219739913303,401.4245614035134,0.32496392047386174,63.58031317746571,2.4285714285714284,0.56
0.9999955019996808,0.9996202075753002,0.0016301962295142956,0.03752961124625904,9.187953431870296,0.10881580247057358,19.26526816211221,98.81566876369745,1538.7462487495834,402.67888307154135,0.32871894879443103,54.955472808206984,2.857142857142857,0.595
0.9999967748358946,0.9996173043653653,0.0016483373975863407,0.03794716943877073,10.891985884972481,0.09179211555696726,20.74301690590533,99.15725087668713,1525.9219739913303,410.0573476702549,0.3319523918819013,63.58031317746571,2.4285714285714284,0.555
0.9999955952581064,0.9996121682691089,0.0016655289163469448,0.03834286779018758,9.382440646757162,0.10655969093001863,19.44722873567467,98.86426469463628,1538.7462487495834,411.2923351158513,0.33575037015901693,54.955472808206984,2.857142857142857,0.59
0.9999968441150983,0.9996089050668788,0.0016851300826596833,0.03879402725142811,11.131040194153599,0.08982034466470157,20.931610337558524,99.19306423211123,1525.9219739913303,419.069597069576,0.33924804884631826,63.58031317746571,2.4285714285714284,0.55
0.9999956869405805,0.9996039260046342,0.0017017368255341858,0.03917626256417664,9.581837836468182,0.10434170488901445,19.629908879719146,98.911047059345,1538.7462487495834,420.28233151184935,0.3430891760641509,54.955472808206984,2.857142857142857,0.585
0.9999969122522357,0.9996002766764914,0.0017229134456204992,0.03966368004587134,11.376614739045458,0.08788107838072001,21.1211767379284,99.22752874737768,1525.9219739913303,428.4868913857703,0.3468716005058056,63.58031317746571,2.4285714285714284,0.545
0.9999957770797009,0.9995954736698864,0.0017388510199446267,0.04003051002709847,9.786317054620781,0.10216105570381726,19.813339096580208,98.95608271085413,1538.7462487495834,429.67411545624753,0.3507559732946342,54.955472808206984,2.857142857142857,0.5800000000000001
0.9999969792685249,0.9995914106105829,0.0017617248978239145,0.04055698830597681,11.628953820010713,0.08597371282613517,21.31174963476556,99.2606926284444,1525.9219739913303,438.33716475098623,0.3548456602875691,63.58031317746571,2.4285714285714284,0.54
0.9999958657069615,0.999586803845065,0.0017769038966194781,0.040906355308508675,9.996057801231103,0.10001698148196628,19.997550153492924,98.99943574286208,1538.7462487495834,439.49523809524675,0.3587732526842253,54.955472808206984,2.857142857142857,0.5750000000000001
0.9999970451845137,0.9995822978844785,0.0018016035922451927,0.04147485255405782,11.888313151860167,0.08409766314517479,21.50336308329917,99.29260222143445,1525.9219739913303,446.02729044832336,0.36107102274871516,63.58031317746571,2.4285714285714284,0.535
0.9999959528527994,0.9995779087862106,0.0018159292581303012,0.0418045758481573,10.211247418543122,0.09790874592095795,20.182573113995016,99.04116762714847,1538.7462487495834,447.1608527131934,0.3650309256961645,54.955472808206984,2.857142857142857,0.5700000000000001
0.9999971100201112,0.9995729290895985,0.001842590523067097,0.042418215639056435,12.154960514299786,0.08225236275080157,21.69605170181841,99.32330209831586,1525.9219739913303,456.7105788423226,0.36971943047924555,63.58031317746571,2.4285714285714284,0.53
