R_um,kappa,Tmax,Tmin,ER_db,contrast_pct,IL_db,lam_res_nm,delta_lambda_nm,Q,FSR_nm,tau_ps
3.0,0.005,0.9999999997287294,0.9964809172260515,0.015310135770206503,0.3519082503632585,1.1781130800831451e-09,1559.9679935987197,0.02400480096011412,64985.6666668776,53.792163397682835,53.78140496517786
3.0,0.015084745762711863,0.9999999975306519,0.9696574743387057,0.13381649481202107,3.034252326687244,1.0724242374044054e-08,1559.9679935987197,0.02400480096011412,64985.6666668776,53.792163397682835,53.78140496517786
3.0,0.025169491525423728,0.9999999931238823,0.9347911867619799,0.2928538781503429,6.520880681028583,2.9862599735443115e-08,1559.9679935987197,0.03600720144017118,43323.7777779184,53.792163397682835,35.85426997678525
3.0,0.035254237288135586,0.999999986505727,0.9251657190666859,0.3378046201671726,7.483426844887514,5.8604883547747157e-08,1559.9679935987197,0.03600720144017118,43323.7777779184,53.792163397682835,35.85426997678525
3.0,0.04533898305084745,0.9999999776721397,0.9366976697557321,0.28400550476069863,6.330230932981268,9.696866645928859e-08,1559.9679935987197,0.03600720144017118,43323.7777779184,53.792163397682835,35.85426997678525
3.0,0.055423728813559316,0.9999999666177107,0.9512782277998513,0.21692428474403663,4.8721740444302695,1.4497744263589633e-07,1559.9679935987197,0.03600720144017118,43323.7777779184,53.792163397682835,35.85426997678525
3.0,0.06550847457627118,0.9999999533356562,0.9628523798306591,0.1644027157023564,3.714757523846431,2.026606750137267e-07,1559.9679935987197,0.06001200240049706,25994.266666659318,53.792163397682835,21.512561985995237
3.0,0.07559322033898305,0.9999999378178058,0.9712195953632453,0.12682536833164126,2.878034424418547,2.7005384640960776e-07,1559.9679935987197,0.06001200240049706,25994.266666659318,53.792163397682835,21.512561985995237
3.0,0.08567796610169491,0.9999999200545886,0.9772212305049515,0.10007071662548597,2.277869137068899,3.471985241321765e-07,1559.9679935987197,0.08401680336061118,18567.333333346804,53.792163397682835,15.366115704297805
3.0,0.09576271186440677,0.9999999000350114,0.981595698138116,0.08067310166493298,1.8404203736671416,4.3414245111223763e-07,1559.9679935987197,0.08401680336061118,18567.333333346804,53.792163397682835,15.366115704297805
3.0,0.10584745762711864,0.9999998777466379,0.9848545635493796,0.06627845252508288,1.5145316048824093,5.309396379976708e-07,1559.9679935987197,0.10802160432093706,14441.259259249515,53.792163397682835,11.951423325548225
3.0,0.1159322033898305,0.9999998531755688,0.987336096931996,0.05534921157709729,1.2663758102921934,6.376504494626019e-07,1559.9679935987197,0.13202640528126294,11815.575757557257,53.792163397682835,9.778437266348925
3.0,0.12601694915254236,0.9999998263064065,0.9892642674423126,0.046876020677034766,1.0735560728792064,7.543417575375789e-07,1559.9679935987197,0.1560312062411653,9997.794871800186,53.792163397682835,8.274062302312599
3.0,0.13610169491525423,0.9999997971222315,0.9907898114440136,0.04018379920566892,0.9209987546719679,8.810870428663075e-07,1559.9679935987197,0.1800360072012794,8664.755555563297,53.792163397682835,7.17085399534018
3.0,0.1461864406779661,0.9999997656045649,0.9920163110185376,0.03481085195225911,0.7983456457313088,1.017966559608271e-06,1559.9679935987197,0.2040408081616053,7645.372549020621,53.792163397682835,6.327224113530639
3.0,0.15627118644067794,0.9999997317333305,0.9930164804759167,0.030434272230893244,0.6983253130787785,1.165067498895133e-06,1559.9679935987197,0.22804560912193117,6840.5964912248655,53.792163397682835,5.661200522629275
3.0,0.16635593220338982,0.9999996954868181,0.9938424164878953,0.026823395667380803,0.6157280873896012,1.3224841469836273e-06,1559.9679935987197,0.25205041008225704,6189.111111105201,53.792163397682835,5.1220385680906615
3.0,0.1764406779661017,0.9999996568416331,0.9945321568602293,0.023810209525092302,0.5467501857622732,1.490318107536548e-06,1559.9679935987197,0.2760552110421594,5650.927536232887,53.792163397682835,4.676643910001117
3.0,0.18652542372881353,0.999999615772651,0.9951139599271672,0.021270143627967295,0.4885657722687043,1.6686784954563954e-06,1559.9679935987197,0.3240648129625994,4813.753086419651,53.792163397682835,3.983807775185345
3.0,0.1966101694915254,0.9999995722529642,0.9956091530110931,0.019109336436221768,0.4390421119860733,1.8576821702568074e-06,1559.9679935987197,0.3480696139227135,4481.770114943443,53.792163397682835,3.7090624113802955
3.0,0.20669491525423728,0.9999995262538232,0.9960340654667824,0.017256022252284262,0.39654626656635195,2.0574539916138984e-06,1559.9679935987197,0.38407681536309646,4061.604166666414,53.792163397682835,3.361337810312498
3.0,0.21677966101694912,0.9999994777445769,0.996401364720401,0.01565459491296395,0.35981149033109183,2.2681270763644824e-06,1559.9679935987197,0.4200840168030559,3713.4666666693606,53.792163397682835,3.0732231408595614
3.0,0.226864406779661,0.9999994266926038,0.9967209955967722,0.014261443893575362,0.3278432975381464,2.4898430998638017e-06,1559.9679935987197,0.46809361872370764,3332.5982905985547,53.792163397682835,2.7580207674362858
3.0,0.23694915254237287,0.9999993730632389,0.9970008512895309,0.013041985904271802,0.2998523653592781,2.722752611808625e-06,1559.9679935987197,0.5161032206443594,3022.589147285471,53.792163397682835,2.501460696045547
3.0,0.2470338983050847,0.9999993168196949,0.9972472597321829,0.01196851683169907,0.27520589676645124,2.967015380026346e-06,1559.9679935987197,0.5521104220845305,2825.46376811536,53.792163397682835,2.3383219549996617
3.0,0.2571186440677966,0.9999992579229839,0.9974653409816294,0.011018635685939105,0.25339188217174374,3.22280072799647e-06,1559.9679935987197,0.6001200240047588,2599.426666666849,53.792163397682835,2.1512561986002834
