detune_nm,T_on,contrast_pct,SNR_est,BER_est
-0.2,8.93505961889142,100.0,8935.05961889142,0.0
-0.195,8.938164304322754,100.0,8938.164304322754,0.0
-0.19,8.941052700160592,100.0,8941.052700160591,0.0
-0.185,8.94394109599856,100.0,8943.94109599856,0.0
-0.18000000000000002,8.946827513787323,100.0,8946.827513787322,0.0
-0.17500000000000002,8.949496181340173,100.0,8949.496181340173,0.0
-0.17,8.9521648488929,100.0,8952.1648488929,0.0
-0.165,8.954831693220452,100.0,8954.831693220453,0.0
-0.16,8.957279419016931,100.0,8957.279419016932,0.0
-0.15500000000000003,8.959727144813519,100.0,8959.727144813518,0.0
-0.15000000000000002,8.962173204752741,100.0,8962.17320475274,0.0
-0.14500000000000002,8.964398871776975,100.0,8964.398871776975,0.0
-0.14,8.966624538801106,100.0,8966.624538801107,0.0
-0.135,8.968848699671778,100.0,8968.848699671778,0.0
-0.13,8.970851288619045,100.0,8970.851288619044,0.0
-0.125,8.972853877566404,100.0,8972.853877566404,0.0
-0.12000000000000001,8.974855122186565,100.0,8974.855122186564,0.0
-0.115,8.976633712614598,100.0,8976.633712614597,0.0
-0.11000000000000001,8.978412303042715,100.0,8978.412303042714,0.0
-0.10500000000000001,8.98018971287556,100.0,8980.18971287556,0.0
-0.1,8.981743484247783,100.0,8981.743484247783,0.0
-0.09500000000000001,8.983297255619936,100.0,8983.297255619937,0.0
-0.09000000000000001,8.984850011813968,100.0,8984.850011813967,0.0
-0.085,8.986178244432047,100.0,8986.178244432047,0.0
-0.08000000000000002,8.987506477050184,100.0,8987.506477050183,0.0
-0.07500000000000001,8.988833861368215,100.0,8988.833861368215,0.0
-0.07,8.989935937193884,100.0,8989.935937193884,0.0
-0.065,8.991038013019503,100.0,8991.038013019503,0.0
-0.06,8.992139408657728,100.0,8992.139408657727,0.0
-0.05500000000000002,8.993014812019421,100.0,8993.01481201942,0.0
-0.05000000000000002,8.993890215381155,100.0,8993.890215381154,0.0
-0.04500000000000001,8.994765107673432,100.0,8994.765107673431,0.0
-0.04000000000000001,8.995413425858837,100.0,8995.413425858836,0.0
-0.035,8.99606174404421,100.0,8996.06174404421,0.0
-0.03,8.996709721052643,100.0,8996.709721052643,0.0
-0.024999999999999994,8.997130644783997,100.0,8997.130644783996,0.0
-0.020000000000000018,8.997551568515371,100.0,8997.551568515371,0.0
-0.015000000000000013,8.997972321504093,100.0,8997.972321504094,0.0
-0.010000000000000009,8.998165645296442,100.0,8998.165645296442,0.0
-0.0050000000000000044,8.998358969088782,100.0,8998.358969088782,0.0
0.0,8.998552292881131,100.0,8998.552292881132,0.0
0.0050000000000000044,8.998517915281901,100.0,8998.517915281902,0.0
0.009999999999999981,8.998483537682676,100.0,8998.483537682676,0.0
0.014999999999999986,8.998449160083446,100.0,8998.449160083446,0.0
0.01999999999999999,8.998187254610249,100.0,8998.18725461025,0.0
0.024999999999999994,8.997925178320326,100.0,8997.925178320325,0.0
0.03,8.997663102030414,100.0,8997.663102030414,0.0
0.035,8.997173775379057,100.0,8997.173775379057,0.0
0.03999999999999998,8.996684107254604,100.0,8996.684107254603,0.0
0.044999999999999984,8.996194439130129,100.0,8996.194439130128,0.0
0.04999999999999999,8.995477901800442,100.0,8995.477901800441,0.0
0.05499999999999999,8.99476085273567,100.0,8994.76085273567,0.0
0.06,8.99404380367093,100.0,8994.04380367093,0.0
0.065,8.993100369731277,100.0,8993.100369731277,0.0
0.07,8.992156254422587,100.0,8992.156254422587,0.0
0.07500000000000001,8.991212139113854,100.0,8991.212139113853,0.0
0.08000000000000002,8.99004222584799,100.0,8990.04222584799,0.0
0.08500000000000002,8.98887146243916,100.0,8988.87146243916,0.0
0.08999999999999997,8.987700699030386,100.0,8987.700699030385,0.0
0.09499999999999997,8.986304826467048,100.0,8986.304826467049,0.0
0.09999999999999998,8.984907936077905,100.0,8984.907936077905,0.0
0.10499999999999998,8.983511045688696,100.0,8983.511045688696,0.0
0.10999999999999999,8.9818898360152,100.0,8981.8898360152,0.0
0.11499999999999999,8.980267442152353,100.0,8980.267442152353,0.0
0.12,8.978645048289577,100.0,8978.645048289576,0.0
0.125,8.976799225150078,100.0,8976.799225150078,0.0
0.13,8.974952053003626,100.0,8974.952053003626,0.0
0.135,8.973104880857257,100.0,8973.104880857256,0.0
0.14,8.971035268538152,100.0,8971.035268538151,0.0
0.14500000000000002,8.968964144163584,100.0,8968.964144163583,0.0
0.15000000000000002,8.966893019788921,100.0,8966.89301978892,0.0
0.15499999999999997,8.964600542292352,100.0,8964.600542292352,0.0
0.15999999999999998,8.962306391680624,100.0,8962.306391680624,0.0
0.16499999999999998,8.960012241068998,100.0,8960.012241068998,0.0
0.16999999999999998,8.95749792107571,100.0,8957.49792107571,0.0
0.175,8.954981769113397,100.0,8954.981769113398,0.0
0.18,8.95246561715097,100.0,8952.46561715097,0.0
0.185,8.949730574877353,100.0,8949.730574877352,0.0
0.19,8.946993544198062,100.0,8946.993544198061,0.0
0.195,8.944256513518894,100.0,8944.256513518894,0.0
0.2,8.941301965466776,100.0,8941.301965466775,0.0
