sample_idx,R_um,deltaR_nm,kappa,neff,loss_dB_cm,T_on_at_nominal_laser,BER_est,ER_drop_db,contrast_drop_pct,tau_ps,Q_drop,IL_th_dB
0,2.384145922485092,-44.42507751490754,0.6007799895794874,2.3973051548982354,0.09435403612259091,0.11278277340291554,0.0,19.05600054419554,98.75720371728849,0.020648401760556694,25.469367341835458,1.5755846154231068e-05
1,2.4654195188211245,36.84851882112468,0.5974065381818717,2.400653835439923,0.1056783328028908,0.12990447880156628,0.0,19.127952582267337,98.77762420448394,0.020428421139973056,25.333333333333332,1.8202213157686004e-05
2,2.4428121612089213,14.241161208921278,0.5559110443237502,2.406774257693524,0.09349246451381854,0.24392895032734682,0.0,20.708789435525368,99.15058278905202,0.02184847891309283,26.19904976244061,1.3224089480630656e-05
3,2.442570998079096,13.999998079096159,0.5543272279051125,2.3976135249993646,0.0904015612137225,0.6981673146832484,0.0,20.768448291501866,99.16217142014858,0.021678228160192877,26.096774193548388,1.269821907266809e-05
4,2.456816498973854,28.24549897385442,0.6326958672192149,2.3927689030340376,0.10089734626933543,0.3399713843773279,0.0,17.913657765787782,98.3832821869191,0.021843474298560928,26.196049012253063,1.980245873148805e-05
5,2.417998145280724,-10.572854719275544,0.6137868475155731,2.400114478551134,0.10620932747378947,1.0315091323966066,0.0,18.27329695314496,98.51176914395066,0.02198122513356088,26.702556158017018,1.8983834322771993e-05
6,2.463354121939089,34.78312193908905,0.5789449101147277,2.402996184187595,0.09480603697921924,0.11918868017131587,0.0,19.811524435305948,98.95564642805934,0.020428421139973056,25.333333333333332,1.5065079785385271e-05
7,2.4487011411163433,20.130141116343534,0.5631371700833431,2.3911481778227808,0.10159196899164705,0.7776143155075721,0.0,20.438103339676132,99.09595579632325,0.021669920017907702,26.09177294323581,1.4860349166956479e-05
8,2.4308727203607736,2.3017203607736767,0.6034022644428904,2.401784803819993,0.10829797065067404,3.9206225248065545,0.0,18.961114154975135,98.72975181071979,0.0215459031401275,26.017004251062765,1.864098868733354e-05
9,2.425201394810817,-3.3696051891830656,0.5772028413038938,2.4025511063224725,0.10293447023268443,9.364471646575433,0.0,19.916466859807013,98.98057961443222,0.021459013742428493,25.964491122780696,1.5835305618073563e-05
10,2.4233623025790747,-5.208697420925192,0.5890539964481628,2.3969563746415177,0.09649756670879112,1.4133756846762158,0.0,19.481898766049255,98.87329525477162,0.022390776257113706,27.17563665003933,1.5594912333272863e-05
11,2.4343201972625064,5.749197262506388,0.5895147622866629,2.4039467833791677,0.10110074422491899,1.07046710587195,0.0,19.465085083160083,98.86892476991575,0.021645835409994513,26.077269317329332,1.644450924789438e-05
12,2.4386333953008816,10.06239530088199,0.5802743744785861,2.402054783712083,0.10216296338448926,0.7059905222584029,0.0,19.803426111234252,98.95369719676025,0.02168861557728521,26.103025756439113,1.6010706793209505e-05
13,2.42869766260931,0.1266626093102787,0.628171200551204,2.3922945178733217,0.0972083297839322,1.7763608055239302,0.0,18.074297856644964,98.44199009508472,0.02270604481533171,27.551357104842946,1.8514527140679038e-05
14,2.4357312697077784,7.160269707778605,0.607684114000281,2.402743516278908,0.09469237950856456,1.0986874510953828,0.0,18.806880419610764,98.68383008936155,0.02164957179895921,26.079519879969993,1.6624501493268772e-05
15,2.403721333058769,-24.84966694123066,0.5478356483410473,2.403073652274515,0.10143481186388843,0.22469536798692982,0.0,21.013573433503836,99.20815048209371,0.021089848343600677,25.740185046261566,1.363104223980453e-05
16,2.4252413214445308,-3.329678555469055,0.5473795816398317,2.403018145934998,0.10742648431844773,11.158519175624637,0.0,21.030766137895117,99.21127903273899,0.021468108208808796,25.969992498124533,1.4536495217897317e-05
17,2.4341711915781072,5.60019157810741,0.584535668500222,2.3987022093024577,0.09682052992957536,3.6796421856187913,0.0,19.647105479392092,98.91535042090034,0.021548802476850155,26.018754688672168,1.542080777615419e-05
18,2.4480795114623137,19.508511462314026,0.619246270960306,2.396482963259247,0.0943085586907553,0.5088271131883975,0.0,18.392313864445725,98.55199982764378,0.021755570148832927,26.143285821455365,1.7454647619371896e-05
19,2.423359078555401,-5.211921444599109,0.6037246449490812,2.399763494714462,0.09450659873937478,2.775085500291422,0.0,18.949601860926737,98.72638016535204,0.021376837697373925,25.914728682170544,1.6238585036460096e-05
20,2.4095332881043685,-19.037711895631375,0.5513772202431791,2.3957131912511427,0.10455333983329924,0.20361804029580888,0.0,20.87956987027996,99.18333674947868,0.021062402674500727,25.72343085771443,1.4303042488376578e-05
21,2.4391328616361574,10.561861636157435,0.5911002140069317,2.406561702895295,0.1005601461887778,0.39859489339976656,0.0,19.4073032540138,98.85377553288272,0.021778882883186423,26.157289322330584,1.6498343706956434e-05
22,2.45745373433219,28.88273433218981,0.6013017467578595,2.3956149691570388,0.09480296100626463,0.23335024564470666,0.0,19.037107130913462,98.75178531717093,0.02190649080859542,26.233808452113028,1.6353063616135577e-05
23,2.421477715014453,-7.09328498554695,0.5551512439535529,2.396165001576821,0.11138452652360305,0.7732483855309903,0.0,19.68947048722789,98.9258796337082,0.02176395614337455,26.444245524296704,1.5565953997746957e-05
24,2.4215652012947286,-7.005798705270997,0.5743908740994468,2.402725798774195,0.11327877514246117,3.6845030469543456,0.0,20.020148497010982,99.0046286176658,0.021397882866045263,25.927481870467616,1.719389509091107e-05
